node_id,vendorid,deliverytype,resourcetype,dialtype,nattype,scheduleisps,regsource,customermode,province,isp,city,device_type,arch_type,isvm,qoskiller_status,bw,os,arch,bw_rated,corenum,memtotal,totaldisksize,hdddisksize,ssddisksize,systemdisksize
ant284dd7d8f569a3c0f859fda3e7236,93552,smallBox,aggregation,dhcpNetSingle,restricPort,电信,self,specified,河南,联通,周口,droid.B,,False,default,0,android,armeabi-v7a,147.18,4.0,4003380.0,121440200294.0,0.0,0.0,121440200294.0
ant21aa1d9a03bf83ec0b1a44e83d094,54699,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,江苏,移动,宿迁,droid.B,host,False,,0,,,,,,,,,
ant23b2b33a25dae3d30b0a819c5a920,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,河南,移动,濮阳,droid.B,host,False,,0,android,armeabi-v7a,80.42,4.0,2042788.0,25308094791.0,0.0,0.0,25308094791.0
ant241edeca8940a371fbb5b630ea93c,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,河北,联通,衡水,droid.B,host,False,,0,,,,,,,,,
ant2273d43919c1a3ed5a25e9c198b9d,36339,smallBox,aggregation,dhcpNetSingle,full,,self,specified,辽宁,联通,沈阳,droid.B,host,False,,0,android,armeabi-v7a,395.92,4.0,8388608.0,5637144576.0,0.0,0.0,5637144576.0
ant2018049159c9039aaa935ba042cdd,77385,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,辽宁,联通,沈阳,droid.B,host,False,,0,,,,,,,,,
a2cfcee3266866d253b76d2ae27bf3f7,1067,aggregation,aggregation,staticNetSingle,full,,self,specified,重庆,移动,重庆,jarvis.A,host,False,default,0,linux,x86_64,550.0,16.0,32922808.0,2413771620352.0,0.0,2199023255552.0,214748364800.0
ant290969cab09a7387f82401dcfc767,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,河北,电信,石家庄,droid.A,host,False,,0,,,,,,,,,
ant21de2fa8f707e35c5866465d340d0,48679,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,河北,移动,衡水,droid.B,host,False,,0,,,,,,,,,
ant24816ff3a57cd37a090367d37e973,75485,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,浙江,移动,嘉兴,droid.B,host,False,,0,,,,,,,,,
ant245d1dc95dd2d3bc6833d6ffd4a68,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,江苏,移动,无锡,droid.B,host,False,,0,android,armeabi-v7a,122.0,5.0,3932856.0,54009213747.0,0.0,0.0,54009213747.0
ant2481deff0283a34cd964c6782c4aa,36339,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,河北,联通,衡水,droid.B,host,False,default,0,android,armeabi-v7a,437.71,4.0,8388608.0,5637144576.0,0.0,0.0,5637144576.0
ant215c3467379b4321fba5d76afb50c,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,天津,移动,天津,droid.B,host,False,,0,,,,,,,,,
ant22ba5856472a537deab206323c3f6,36339,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,河北,电信,张家口,droid.B,host,False,,0,,,,,,,,,
ant26645ba74ddf5317f90a1d19d6ddf,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,湖北,电信,荆州,droid.B,host,False,,0,,,,,,,,,
ant217e3f26c76e43f9084e4fe53cbed,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,浙江,移动,宁波,droid.B,host,False,,0,,,,,,,,,
ant282f7f64a749132bf83efb9c812f0,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,湖北,移动,武汉,droid.B,host,False,default,0,android,armeabi-v7a,34.95,4.0,2026936.0,4209067950.0,0.0,0.0,4209067950.0
ant22d3fb3c7a9863e6f803d17ffdcec,36339,smallBox,aggregation,dhcpNetSingle,full,,self,specified,河南,联通,许昌,droid.B,host,False,,0,,,,,,,,,
ant20ee81dc9bf5f3d309f2607aa1dd0,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,山东,联通,潍坊,droid.B,host,False,,0,,,,,,,,,
ant0a236c9165e386c9f04f6978568ec,82446,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,江苏,移动,苏州,ant.C,,True,default,0,,,,,,,,,
ant27c4c0937237235e597931a251d8a,77385,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,广东,联通,汕头,droid.B,host,False,,0,android,armeabi-v7a,118.15,4.0,1048576.0,4928474972.0,0.0,0.0,4928474972.0
ant269675a582b9030cdbe5cae383e19,33035,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,广东,电信,佛山,droid.B,host,False,default,0,android,armeabi-v7a,39.32,4.0,2053196.0,4058744094.0,0.0,0.0,4058744094.0
6c67423691e2e1b0c0ca0838436e5d45,55341,aggregation,aggregation,externalDial,full,电信,self,specified,重庆,移动,重庆,jarvis.A,vm,True,default,0,linux,x86_64,150.0,4.0,8141844.0,536870912000.0,0.0,429496729600.0,107374182400.0
ant22bdec1e7d3e634fe91306318d732,77385,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,陕西,电信,西安,droid.B,host,False,,0,,,,,,,,,
ant25c3f3628ba913bdc98d32a64b8af,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,上海,电信,上海,droid.B,host,False,,0,android,armeabi-v7a,77.02,4.0,1048576.0,5282809774.0,0.0,0.0,5282809774.0
ant220541cfa235c3c06bb65734615d6,46185,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,内蒙古,联通,通辽,droid.B,host,False,,0,android,armeabi-v7a,67.72,4.0,2055160.0,118648471552.0,0.0,0.0,118648471552.0
ant2346f60ecb30c31529a4e6357b9f4,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,河南,电信,洛阳,droid.B,host,False,,0,,,,,,,,,
ant234f6fb4470b232098f3f75545058,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,江苏,移动,泰州,droid.B,host,False,,0,,,,,,,,,
ant273257e77144b3f2e835879f16737,36339,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,辽宁,联通,朝阳,droid.B,host,False,,0,android,armeabi-v7a,362.87,4.0,1048576.0,5637144576.0,0.0,0.0,5637144576.0
ant203f29733f8bf3e119afc3cb28688,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,广东,联通,揭阳,droid.B,host,False,,0,,,,,,,,,
ant292b2d2da2f673dbab087bd8307bf,36339,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,湖北,电信,武汉,droid.B,host,False,,0,,,,,,,,,
ant22b08bf9c2b1230b2841b3d27de02,50903,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,广东,电信,广州,droid.B,host,False,default,0,,,,,,,,,
ant27f2243ff42df3af7baccabe1b511,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,内蒙古,联通,包头,droid.B,host,False,,0,,,,,,,,,
ant269911c2d5ad23dc4880427846a99,36339,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,辽宁,联通,丹东,droid.B,host,False,,0,,,,,,,,,
ant1e09e78f9e6a9cadc6aa74510d4a1,55158,smallBox,aggregation,dhcpNetSingle,full,,self,specified,北京,电信,北京,ant.C,,False,default,0,,,,,,,,,
ant276a5166e9925377690a1a3b19a30,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,山西,联通,晋中,droid.B,host,False,,0,,,,,,,,,
21165ab637c90d86fab2d442ed136186,24505,aggregation,aggregation,staticNetCouple,public,,self,specified,陕西,联通,商洛,jarvis.A,host,False,default,10000,linux,x86_64,1500.0,64.0,131145384.0,6303401377790.0,0.0,6047313952766.0,256087425024.0
ant28155cb38c02b32f5a9a4a969a07b,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,河北,电信,保定,droid.B,host,False,,0,,,,,,,,,
78ff4b4cbc06045af12fb590e8de542e,93265,aggregation,aggregation,serverDial,full,,self,specified,湖南,移动,岳阳,jarvis.A,host,False,default,100,linux,x86_64,2160.0,32.0,32549708.0,4418232857394.0,0.0,4178144185548.0,240088671846.0
