node_id,top1_business,top1_pred_cost,top1_pred_profit,top1_profit_positive,top2_business,top2_pred_cost,top2_pred_profit,top2_profit_positive,top3_business,top3_pred_cost,top3_pred_profit,top3_profit_positive
ant2282ba6f852763ea5ab988999be02,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant228376a92e20f36e88bba106c4503,10000251,1.24,5.22,1,10000238,1.16,5.22,1,10000256,1.06,5.22,1
ant2298ffc09bed0375c803c0f9b1206,10000251,3.07,5.22,1,10000217,1.27,5.22,1,10000097,1.45,5.22,1
ant229e6303f4a563e93ab5ba3d7d905,10000251,1.24,5.22,1,10000238,1.16,5.22,1,10000256,1.06,5.22,1
ant22b9c8f89b5563cb7a7e807d55d07,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant22c68c2be7b13301d8ec02aa1600a,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant22c6d43517ac6399f95458b300103,10000149,5.93,5.41,1,10000099,4.69,5.22,1,10000083,4.2,5.22,1
ant22c74592918f83db482964e39670c,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant22cbdf185d3423f5693dc9e37ea06,10000038,3.21,5.22,1,10000050,3.11,5.22,1,10000129,2.9,5.22,1
ant22d60c6399870355b8a9445326601,10000084,7.8,5.95,1,10000149,5.31,5.41,1,10000038,3.21,5.22,1
ant22defa20c507034e5b3baa3d63b0a,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant22df5fe3994f63c39852348725807,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant22ea2b015779b307b817090edee04,10000149,4.21,5.41,1,10000038,3.52,5.22,1,10000084,2.84,5.95,1
ant22efe12fde580337b8e18481e2907,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant230727693ec5d332182ed7bf0ea02,10000050,4.86,5.22,1,10000251,1.42,5.22,1,10000303,1.28,5.22,1
ant2309001cd28dd3fe2baa7425ef808,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2309d72ac119810ca55b096f68c03,1380389889,23.66,5.83,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant230bd1444972e3561aa18ffffea07,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2320a56ce7653302196fd3d063c03,10000038,4.96,5.22,1,10000097,1.11,5.22,1,10000193,0.79,5.22,1
ant2336324d7e0b63193ab2b02c99203,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant233a47fd61abd395c9199c2699206,10000251,2.62,5.22,1,10000193,0.69,5.22,1,10000208,0.68,5.22,1
